time	V(vout)
Step Information: Run=0  (Run: 1/65)
3.318828802275633e+000	3.297963e+000
3.319458227324461e+000	3.297776e+000
3.319496374297117e+000	3.297714e+000
3.319575052428221e+000	3.297498e+000
3.319591741728758e+000	3.297322e+000
3.319597702193236e+000	3.297194e+000
3.319600086379027e+000	3.297097e+000
3.319604854750609e+000	3.296798e+000
3.319606046843504e+000	3.296631e+000
3.319608431029295e+000	3.296053e+000
3.319608694178214e+000	3.295933e+000
3.319609220476051e+000	3.295573e+000
3.319609352050510e+000	3.295454e+000
3.319609615199429e+000	3.295062e+000
3.319610141497266e+000	3.293895e+000
3.319610204502498e+000	3.293640e+000
3.319610330512961e+000	3.292850e+000
3.319610422579487e+000	3.291987e+000
3.319610525045136e+000	3.290463e+000
3.319610578963717e+000	3.289125e+000
3.319610626892064e+000	3.287200e+000
3.319610658361829e+000	3.285124e+000
3.319610690482123e+000	3.281567e+000
3.319610715752439e+000	3.276666e+000
3.319610735937389e+000	3.269570e+000
3.319610752161247e+000	3.259181e+000
3.319610766034751e+000	3.243059e+000
3.319610779185237e+000	3.215758e+000
3.319610793591872e+000	3.166866e+000
3.319610808710594e+000	3.093972e+000
3.319610827170953e+000	2.985248e+000
3.319610848546280e+000	2.847676e+000
3.319610874833657e+000	2.672161e+000
3.319610922151557e+000	2.351045e+000
3.319611014564456e+000	1.720779e+000
3.319611199390253e+000	4.772580e-001
3.319611261791105e+000	8.028841e-002
3.319611264173398e+000	6.805874e-002
3.319611268937984e+000	5.079880e-002
3.319611278467155e+000	2.610869e-002
3.319611284364846e+000	1.653633e-002
3.319611288215345e+000	1.304171e-002
3.319611292284635e+000	1.068169e-002
3.319611296979933e+000	8.818396e-003
3.319611302331158e+000	7.364856e-003
3.319611308005974e+000	6.323465e-003
3.319611315901787e+000	5.354362e-003
3.319611324374823e+000	4.668723e-003
3.319611337499064e+000	3.991507e-003
3.319611351217588e+000	3.548844e-003
3.319611376081239e+000	3.070779e-003
3.319611399883642e+000	2.798697e-003
3.319611446908108e+000	2.501523e-003
3.319611494290121e+000	2.332180e-003
3.319611589054148e+000	2.158107e-003
3.319611693662028e+000	2.056568e-003
3.319611902877787e+000	1.964014e-003
3.319612256961115e+000	1.895369e-003
3.319612965127772e+000	1.845740e-003
3.319614381461086e+000	1.814613e-003
3.319617214127713e+000	1.799121e-003
3.319622879460968e+000	1.793743e-003
3.319656871460498e+000	1.792994e-003
3.344944100047472e+000	1.791291e-003
3.369358162547472e+000	1.789627e-003
3.393772225047472e+000	1.788165e-003
3.418186287547472e+000	1.786882e-003
3.442600350047472e+000	1.785755e-003
3.467014412547472e+000	1.784765e-003
3.491428475047472e+000	1.783895e-003
3.515842537547472e+000	1.783132e-003
3.540256600047472e+000	1.782461e-003
3.564670662547472e+000	1.781873e-003
3.589084725047472e+000	1.781360e-003
3.613498787547472e+000	1.780927e-003
3.637912850047472e+000	1.780608e-003
3.662326912547472e+000	1.780513e-003
3.686740975047472e+000	1.780917e-003
3.711155037547472e+000	1.782421e-003
3.735569100047472e+000	1.786374e-003
3.759983162547472e+000	1.796972e-003
3.779514412547472e+000	1.827874e-003
3.784397225047472e+000	1.855926e-003
3.789280037547472e+000	1.913871e-003
3.791111092234972e+000	2.040510e-003
3.791416268016222e+000	2.114567e-003
3.791492561961535e+000	2.156633e-003
3.791645149852160e+000	2.292701e-003
3.791692833567980e+000	2.382926e-003
3.791716675425890e+000	2.482411e-003
3.791728596354845e+000	2.573191e-003
3.791733364726427e+000	2.642701e-003
3.791742901469591e+000	2.851657e-003
3.791745285655382e+000	2.967532e-003
3.791750054026964e+000	3.374736e-003
3.791750828596288e+000	3.515581e-003
3.791752377734937e+000	3.997456e-003
3.791752765019599e+000	4.231065e-003
